Symbol,Company Name,Market Cap,Stock Price
241,MFLOUR,Malayan Flour Mills Berhad,687.73M
242,MKHOP,MKH Oil Palm (East Kalimantan) Berhad,681.03M
243,MIECO,Mieco Chipboard Berhad,680.00M
244,KOTRA,Kotra Industries Berhad,679.28M
245,EDGENTA,UEM Edgenta Berhad,677.77M
246,IBRACO,Ibraco Berhad,677.10M
247,KAB,Kinergy Advancement Berhad,675.36M
248,MKH,MKH Berhad,675.30M
249,NOTION,Notion VTec Berhad,666.58M
250,SCIPACK,Scientex Packaging (Ayer Keroh) Berhad,666.18M
251,KENANGA,Kenanga Investment Bank Berhad,660.61M
252,SWKPLNT,Sarawak Plantation Berhad,655.73M
253,ATLAN,Atlan Holdings Bhd,654.42M
254,ECONBHD,Econpile Holdings Berhad,652.05M
255,CGB,Central Global Berhad,651.86M
256,SURIA,Suria Capital Holdings Berhad,646.68M
257,SAPNRG,Sapura Energy Berhad,643.16M
258,TEOSENG,Teo Seng Capital Berhad,642.51M
259,PARAMON,Paramount Corporation Berhad,641.45M
260,PWROOT,Power Root Berhad,640.22M
261,BJFOOD,Berjaya Food Berhad,637.85M
262,THPLANT,TH Plantations Berhad,636.37M
263,FEYTECH,Feytech Holdings Berhad,632.40M
264,KFIMA,Kumpulan Fima Berhad,627.57M
265,ADB,Autocount Dotcom Berhad,627.57M
266,HENGYUAN,Hengyuan Refining Company Berhad,627.00M
267,PEKAT,Pekat Group Berhad,625.62M
268,MHB,Malaysia Marine and Heavy Engineering Holdings Berhad,624.00M
269,CBIP,CB Industrial Product Holding Berhad,623.70M
270,UOAREIT,Uoa Real Estate Investment,618.17M
271,ICON,Icon Offshore Berhad,617.38M
272,RGB,RGB International Bhd.,616.34M
273,INSAS,Insas Berhad,610.07M
274,CPETECH,CPE Technology Berhad,604.18M
275,OIB,Oriental Interest Berhad,601.88M
276,SMRT,SMRT Holdings Berhad,588.85M
277,ABLEGLOB,Able Global Berhad,584.37M
278,HIAPTEK,Hiap Teck Venture Berhad,583.65M
279,FIAMMA,Fiamma Holdings Berhad,583.25M
280,ANNJOO,Ann Joo Resources Berhad,582.44M
281,SKYWLD,SkyWorld Development Berhad,580.00M
282,SYNERGY,Synergy House Berhad,580.00M
283,SHL,SHL Consolidated Bhd.,578.68M
284,HARBOUR,Harbour-Link Group Berhad,573.95M
285,MUHIBAH,Muhibbah Engineering (M) Bhd.,571.45M
286,TGUAN,Thong Guan Industries Berhad,570.33M
287,LGMS,LGMS Berhad,570.00M
288,TASCO,TASCO Berhad,568.00M
289,KAWAN,Kawan Food Berhad,567.74M
290,APOLLO,Apollo Food Holdings Berhad,560.80M
291,MNHLDG,MN Holdings Berhad,553.47M
292,KJTS,KJTS Group Berhad,550.40M
293,APM,APM Automotive Holdings Berhad,549.34M
294,VLB,Vestland Berhad,547.70M
295,DELEUM,Deleum Berhad,546.11M
296,ELKDESA,ELK-Desa Resources Berhad,545.77M
297,OPPSTAR,Oppstar Berhad,541.31M
298,KIPREIT,KIP Real Estate Investment Trust,541.30M
299,LUXCHEM,Luxchem Corporation Berhad,540.23M
300,PERDANA,Perdana Petroleum Berhad,534.49M
301,NAIM,Naim Holdings Berhad,530.79M
302,MYNEWS,Mynews Holdings Berhad,525.25M
303,HARISON,Harrisons Holdings (Malaysia) Berhad,523.84M
304,HSSEB,HSS Engineers Berhad,523.73M
305,MANULFE,Manulife Holdings Berhad,523.53M
306,SAMAIDEN,Samaiden Group Berhad,523.28M
307,MEDIA,Media Prima Berhad,521.32M
308,RSAWIT,Rimbunan Sawit Berhad,520.64M
309,GESHEN,GE-Shen Corporation Berhad,517.55M
310,KOBAY,Kobay Technology Bhd.,515.49M
311,ENGTEX,Engtex Group Berhad,512.32M
312,PHARMA,Pharmaniaga Berhad,511.64M
313,IWCITY,Iskandar Waterfront City Berhad,511.23M
314,PLENITU,Plenitude Berhad,507.44M
315,OCK,OCK Group Berhad,502.23M
316,SBAGAN,Sungei Bagan Rubber Company (Malaya) Berhad,501.84M
317,ZHULIAN,Zhulian Corporation Berhad,496.80M
318,SDS,SDS Group Berhad,495.65M
319,QES,QES Group Berhad,492.14M
320,CLOUDPT,Cloudpoint Technology Berhad,486.41M
321,WELLS,-,466.44M
322,IBHD,-,464.32M
323,GUOCO,-,462.22M
324,PTT,-,458.09M
325,KKB,-,450.41M
326,PENERGY,-,449.32M
327,CANONE,-,445.79M
328,SUNSURIA,-,439.00M
329,ECOFIRS,-,437.50M
330,AVALAND,-,437.10M
331,SUNMOW,-,432.79M
332,CSCSTEL,-,432.08M
333,MGB,-,431.91M
334,SENDAI,-,429.55M
335,MENANG,-,428.12M
336,AJIYA,-,423.56M
337,PGF,-,422.79M
338,CIHLDG,-,421.20M
339,FCW,FCW Holdings Berhad,417.49M
340,FIMACOR,-,417.00M
341,SAB,-,413.54M
342,GTRONIC,Globetronics Technology Bhd.,411.98M
343,CAB,-,410.29M
344,T7GLOBAL,T7 Global Berhad,407.62M
345,PA,-,406.29M
346,OFI,Oriental Food Industries Holdings Berhad,405.60M
347,EMCC,Evergreen Max Cash Capital Berhad,401.36M
348,3A,Three-A Resources Berhad,400.98M
349,POHKONG,Poh Kong Holdings Berhad,400.09M
350,FAVCO,Favelle Favco Berhad,399.88M
351,KIMLUN,-,392.23M
352,EATECH,E.A. Technique (M) Berhad,391.24M
353,TAMBUN,Tambun Indah Land Berhad,388.79M
354,TDM,TDM Berhad,387.65M
355,KUB,KUB Malaysia Berhad,384.27M
356,SWIFT,Swift Haulage Berhad,382.68M
357,SENHENG,Senheng New Retail Berhad,382.50M
358,LIIHEN,Lii Hen Industries Bhd,380.70M
